id,path,filename,extension,size
2159,ROM/1229/Datach - Crayon Shin-chan - Ora to Poi Poi (J).nes,Datach - Crayon Shin-chan - Ora to Poi Poi (J).nes,nes,262160
2160,ROM/1230/Crayon Shin-chan - Ora to Poi Poi (J) [!].nes,Crayon Shin-chan - Ora to Poi Poi (J) [!].nes,nes,262160
2161,ROM/1230/Datach - Crayon Shin-chan - Ora to Poi Poi (J).nes,Datach - Crayon Shin-chan - Ora to Poi Poi (J).nes,nes,262160
2162,ROM/1231/Pachi-Slot Adventure 2 (J) [!].nes,Pachi-Slot Adventure 2 (J) [!].nes,nes,262160
2163,ROM/1232/Tetris 2 (E) [!].nes,Tetris 2 (E) [!].nes,nes,262160
2164,ROM/1232/Tetris 2 (U) [!].nes,Tetris 2 (U) [!].nes,nes,262160
2165,ROM/1232/Tetris Flash (J) [!].nes,Tetris Flash (J) [!].nes,nes,262160
2166,ROM/1233/Datach - Yuu Yuu Hakusho (J).nes,Datach - Yuu Yuu Hakusho (J).nes,nes,262160
2167,ROM/1234/Daiku no Gen-san 2 (J) [!].nes,Daiku no Gen-san 2 (J) [!].nes,nes,524304
2168,ROM/1235/Rokudenashi Blues (J) [!].nes,Rokudenashi Blues (J) [!].nes,nes,524304
2169,ROM/1236/Megaman VI (U) [!].nes,Megaman VI (U) [!].nes,nes,524304
2170,ROM/1236/Megaman VI (W) (MMLC).nes,Megaman VI (W) (MMLC).nes,nes,524304
2171,ROM/1236/Rockman 6 - Shijou Saidai no Tatakai!! (J) [!].nes,Rockman 6 - Shijou Saidai no Tatakai!! (J) [!].nes,nes,524304
2172,ROM/1237/Datach - Battle Rush (J).nes,Datach - Battle Rush (J).nes,nes,262160
2173,ROM/1238/RPG Jinsei Game (J).nes,RPG Jinsei Game (J).nes,nes,393232
2174,ROM/1239/Famista '94 (J) [!].nes,Famista '94 (J) [!].nes,nes,262160
2175,ROM/1240/Keroppi to Keroriinu no Splash Bomb! (J) [!].nes,Keroppi to Keroriinu no Splash Bomb! (J) [!].nes,nes,163856
2176,ROM/1241/Chip 'n Dale Rescue Rangers 2 (E).nes,Chip 'n Dale Rescue Rangers 2 (E).nes,nes,262160
2177,ROM/1241/Chip 'n Dale Rescue Rangers 2 (U) [!].nes,Chip 'n Dale Rescue Rangers 2 (U) [!].nes,nes,262160
2178,ROM/1241/Chip to Dale no Daisakusen 2 (J).nes,Chip to Dale no Daisakusen 2 (J).nes,nes,262160
2179,ROM/1242/Nakayoshi to Issho (J).nes,Nakayoshi to Issho (J).nes,nes,393232
2180,ROM/1243/Nekketsu! Street Basket (J).nes,Nekketsu! Street Basket (J).nes,nes,262160
2181,ROM/1244/Igo Shinan '94 (J).nes,Igo Shinan '94 (J).nes,nes,163856
2182,ROM/1245/Momotarou Densetsu Gaiden (J).nes,Momotarou Densetsu Gaiden (J).nes,nes,524304
2183,ROM/1246/The Legend of Zelda (E) (PRG0) [!].nes,The Legend of Zelda (E) (PRG0) [!].nes,nes,131088
2184,ROM/1246/The Legend of Zelda (E) (PRG1) [!].nes,The Legend of Zelda (E) (PRG1) [!].nes,nes,131088
2185,ROM/1246/The Legend of Zelda (U) (PRG0) [!].nes,The Legend of Zelda (U) (PRG0) [!].nes,nes,131088
2186,ROM/1246/The Legend of Zelda (U) (PRG1) [!].nes,The Legend of Zelda (U) (PRG1) [!].nes,nes,131088
2187,ROM/1246/Zelda no Densetsu (J) (PRG0).fds,Zelda no Densetsu (J) (PRG0).fds,fds,131016
2188,ROM/1246/Zelda no Densetsu (J) (RPG1).fds,Zelda no Densetsu (J) (RPG1).fds,fds,131016
2189,ROM/1246/Zelda no Densetsu 1 (J) [!].nes,Zelda no Densetsu 1 (J) [!].nes,nes,131088
2190,ROM/1247/Wario no Mori (J) [!].nes,Wario no Mori (J) [!].nes,nes,524304
2191,ROM/1247/Wario's Woods (E) [!].nes,Wario's Woods (E) [!].nes,nes,524304
2192,ROM/1247/Wario's Woods (U) [!].nes,Wario's Woods (U) [!].nes,nes,524304
